Unit MaStR Number,Postal Code,Longitude,Latitude,Gross Power (kW),Net Rated Power (kW),Generation MaStR Number,Name of Wind Farm,Location,Hub Height (m),Rotor Diameter (m),EEG MaStR Number,Date of Final Decommissioning,North Sea Cluster,Baltic Sea Cluster
SEE940146675093,34298,9.739374,51.270068,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG951718125489,,,
SEE973767078653,23824,10.2994,54.073831,3000,3000,SGE918200258391,Damsdorf,888,135.4,115.7,EEG912885854947,,,
SEE914108319653,34298,9.733069,51.272164,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG996216581153,,,
SEE982417853618,34298,9.748361,51.270462,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG926639129328,,,
SEE913741454097,52525,6.045546,51.029548,2400,2400,SGE950157614196,Windpark Heinsberg P??tt,888,120,116.8,EEG982767300077,,,
SEE900290686291,25709,8.971423,53.953022,2350,2350,SGE968602490752,Kronprinzenkoog P??ttenfleth,888,85,92,EEG983813926739,,,
SEE901069753206,64823,8.977337,49.876166,1000,1000,SGE930080536406,Windpark Binselberg,888,70,54,EEG993026384028,,,
SEE978389475514,56761,7.239221,50.252081,3300,3300,SGE988486129500,WP Kaifenheim,888,119,112,EEG969964265811,,,
SEE975973981666,90616,10.660917,49.432306,3300,3300,SGE976760915772,Windpark Neuhof,888,137,126,EEG993882704060,,,
SEE987713232792,35066,8.877135,51.050636,600,600,,D??rnholzhausen-Wind,888,60,43,EEG925102401008,,,
SEE906295197954,25813,8.984462,54.44186,3075,3075,SGE948544256371,Energiepark Simonsberg,888,84,112,EEG965469906112,,,
SEE959128063063,33178,8.792204,51.622425,3000,3000,SGE929054882038,WestfalenWIND Etteln GmbH ??? Co. KG,888,149.08,115.71,EEG987164171916,,,
SEE923802377883,78183,8.592151,47.881949,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE949984955732,57334,8.380022,50.890265,3075,3075,SGE937682639740,Wittgenstein New Energy,888,140,112,EEG934616561436,,,
SEE954944337220,24217,10.404352,54.359746,1750,1750,SGE988643478618,VR002006,888,67,66,EEG929092973989,,,
SEE950179793688,78183,8.597642,47.880898,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE948219812307,17391,13.426895,53.883993,3050,3050,SGE966259971204,Windpark Neetzow-Liepen,888,99,101,EEG985279937212,,,
SEE969490244571,24217,10.402225,54.357637,1750,1750,SGE972694900624,VR002006,888,67,66,EEG909135457454,,,
SEE922570521054,24217,10.405882,54.355883,2000,2000,SGE934756958134,VR002006,888,59,82,EEG982308235394,,,
SEE975554042434,37434,10.153584,51.612171,3600,3600,SGE988012094685,Windpark Bodensee,888,166,136,EEG981229097937,,,
SEE990997372290,97199,10.033514,49.6057,2000,2000,SGE961083726495,Windpark Hopferstadt,888,125,90,EEG906495847895,,,
SEE926034105682,78183,8.604953,47.881193,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE971087087461,78183,8.599871,47.890047,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE910634021237,78166,8.60723,47.890135,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE993918975099,78166,8.614181,47.889817,5700,5700,SGE969844675464,Windpark L??nge,888,164,163,,,,
SEE900136703434,48369,7.614904,52.204128,3050,3050,SGE910629914599,Windpool Saerbeck GmbH ??? Co. KG,888,149,101,EEG925412998403,,,
SEE975697581166,48369,7.617248,52.201597,3050,3050,SGE910629914599,Windpool Saerbeck GmbH ??? Co. KG,888,149,101,EEG946694602895,,,
SEE964274163000,78132,8.255743,48.233353,1000,1000,,Reichenbach,888,110,54,EEG945745813839,,,
SEE901944891672,48683,6.990278,52.109722,600,600,,Tante Emma Tacke,888,60,46,EEG977849667223,,,
SEE962097502426,57612,7.725945,50.694,250,250,,KROWI,888,42,30,EEG964589147269,,,
SEE913476607737,29386,10.591174,52.749314,600,600,,Obernholz,888,70,46,EEG981014658145,,,
SEE901953720864,54298,6.313417,49.513993,2000,2000,SGE975954317828,WP-Gilzem,888,105,90,EEG999811867899,,,
SEE946913378938,23738,10.943881,54.236897,660,660,SGE975621807744,Windpark Koselau,888,65,47,EEG983288700209,3/1/2021,,
SEE936077126704,23738,10.945197,54.2346,660,660,SGE975621807744,Windpark Koselau,888,65,47,EEG981721255194,3/1/2021,,
SEE976480356336,23738,10.946528,54.232303,660,660,SGE975621807744,Windpark Koselau,888,65,47,EEG911515114789,3/1/2021,,
SEE917334783236,23738,10.948439,54.230136,660,660,SGE975621807744,Windpark Koselau,888,65,47,EEG993609743105,3/1/2021,,
SEE949293116329,23738,10.953019,54.228461,660,660,SGE975621807744,Windpark Koselau,888,65,47,EEG957842767977,3/1/2021,,
SEE905630482274,39343,11.465,52.176389,2500,2500,SGE930564453144,Gro?? Santersleben III,888,100,100,EEG929161321895,,,
SEE909799533297,26506,7.099,53.575,300,300,,WKA Waterwarf,888,31,31,EEG997290329105,,,
SEE982499303742,25853,,,6,6,,Dahl nach der meede,888,19,6,EEG916925470173,,,
SEE937863584876,23769,11.102845,54.491497,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,71,EEG958061384457,,,
SEE931794674651,26725,7.266,53.38,510,510,,,888,53,39,EEG938204315302,,,
SEE987638635142,23738,10.953326,54.224462,660,660,SGE992256229352,WP G,888,65,47,EEG914236029448,,,
SEE922793604978,23738,10.956545,54.220222,660,660,SGE992256229352,WP G,888,65,47,EEG910026089210,,,
SEE999659874554,23738,10.965686,54.215066,660,660,SGE992256229352,WP G,888,65,47,EEG985588198243,,,
SEE950785031617,23738,10.970278,54.21282,660,660,SGE992256229352,WP G,888,65,47,EEG975309799507,,,
SEE917342732226,23738,10.975578,54.210837,660,660,SGE992256229352,WP G,888,65,47,EEG907182412945,,,
SEE921980944712,23738,10.959635,54.211816,660,660,SGE992256229352,WP G,888,65,47,EEG993775800084,,,
SEE946137284763,23738,10.962553,54.209984,660,660,SGE992256229352,WP G,888,65,47,EEG921128222085,,,
SEE955275455850,23738,10.967681,54.209582,660,660,SGE992256229352,WP G,888,65,47,EEG997267762744,,,
SEE965612305083,23769,11.100788,54.489577,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG909731732948,,,
SEE939244578108,23769,11.102324,54.4871,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG901436962903,,,
SEE932173753615,23769,11.106485,54.485945,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG999231693887,,,
SEE980593379632,23769,11.106146,54.480247,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG930730511777,,,
SEE994466583514,23769,11.109606,54.479374,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG921726889673,,,
SEE986763358575,23769,11.109255,54.477053,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG901715679263,,,
SEE958665984244,23769,11.107397,54.490821,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG954237659077,,,
SEE956453830889,23769,11.1089,54.487697,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG941650854042,,,
SEE917396624430,23769,11.10811,54.483385,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG983155983346,,,
SEE900693366332,23769,11.113163,54.482508,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG947236432055,,,
SEE981427325085,23769,11.11323,54.480146,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG999103136634,,,
SEE939630426662,23769,11.114625,54.476967,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG983313663493,,,
SEE984129721315,23769,11.114411,54.491169,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG931790603433,,,
SEE954280444170,23769,11.115589,54.488797,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG985067374199,,,
SEE914508745694,23769,11.11097,54.489733,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG992572165266,,,
SEE953360256689,23769,11.117776,54.483979,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG973858578918,,,
SEE970117371174,23769,11.119377,54.480577,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG918112320933,,,
SEE920618190866,23769,11.120703,54.478458,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG959734384316,,,
SEE969876050062,23769,11.121536,54.476272,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG953912419715,,,
SEE985376904216,23769,11.098731,54.487675,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG975715461937,,,
SEE945853682280,23769,11.099874,54.484836,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG915414965930,,,
SEE949197406335,23769,11.103312,54.48213,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG955352365904,,,
SEE965725392246,23769,11.095958,54.489656,2300,2300,SGE981452779396,Windpark Fehmarn MItte,888,64,70,EEG984153280178,,,
SEE975399243621,23769,11.117837,54.474699,2300,2300,SGE981452779396,Windpark Fehmarn Mitte,888,64,70,EEG979245551953,,,
SEE913818934996,25774,8.955812,54.264385,2300,2300,,Meede,888,64,71,EEG970767066468,,,
SEE928150861541,25774,8.953315,54.265011,2300,2300,,Meede,888,64,71,EEG957726398211,,,
SEE909241247802,25774,8.958456,54.265603,2300,2300,,Meede,888,64,71,EEG948011889767,,,
SEE987619263197,25774,8.955989,54.262705,2300,2300,,Meede,888,64,71,EEG910612486560,,,
SEE916056181665,25855,9.167139,54.583375,3170,3170,SGE918953643406,Obere Arlau,888,93,114,EEG984408959910,,,
SEE909849088661,26169,,,29.8,29.8,,KWEA,888,42,13.2,EEG939249793872,,,
SEE978971279582,93183,12,49,100,100,,Aufwind,888,38,21,EEG904079191105,,,
SEE919985691250,77887,8.201761,48.607354,2300,2300,,Windpark Hornisgrinde,888,84.4,71,EEG996166308763,,,
SEE966429713405,97199,10.041377,49.602821,2000,2000,SGE961083726495,Windpark Hopferstadt,888,125,90,EEG962685524502,,,
SEE925438597321,28237,8.709239,53.126806,3400,3400,SGE998124301588,WP Weserufer,888,128,104,EEG935265153454,,,
SEE981565701970,52076,6.168717,50.676346,3300,3300,SGE977899593527,Windpark M??nsterwald GmbH ??? Co. KG,888,140,112,EEG971630858609,,,
SEE974457797076,35759,8.126357,50.648611,3050,3050,SGE992958313113,Driedorf-Hohenroth,888,149,101,EEG975371434696,,,
SEE947433298492,52076,6.178403,50.664032,3300,3300,SGE958870321667,Windpark M??nsterwald GmbH ??? Co. KG,888,140,112,EEG974902382062,,,
SEE985818635128,15345,13.789959,52.602453,2000,2000,SGE930619687050,Altlandsberg,888,105,90,EEG910993068881,,,
SEE916799735408,52076,6.180589,50.670274,3300,3300,SGE905082802484,Windpark M??nsterwald GmbH ??? Co. KG,888,140,112,EEG972019823102,,,
SEE927527912091,34474,8.925434,51.445817,2400,2400,SGE997217744387,Neudorfer Windkraft GmbH ??? Co. KG,888,140.6,116.8,EEG906546758958,,,
SEE975728393683,52076,6.18306,50.668022,3300,3300,SGE967199125085,Windpark M??nsterwald GmbH ??? Co. KG,888,140,112,EEG920623024781,,,
SEE960287756734,56761,7.244092,50.25,3300,3300,SGE988486129500,WP Kaifenheim,888,119,112,EEG975658127976,,,
SEE908999761141,56761,7.243275,50.246862,3300,3300,SGE988486129500,WP Kaifenheim,888,94,112,EEG955540002932,,,
SEE994680864611,35759,8.136672,50.651746,800,800,SGE900891540060,Driedorf-Waldaubach,888,73.25,52.9,EEG914820979784,,,
SEE954065333897,15936,13.49091,51.89262,2530,2530,SGE970706399435,Windpark Dahme-Zagelsdorf 4,888,120,120,EEG972555160839,,,
SEE937504967655,52076,6.19019,50.670461,3300,3300,SGE929551216886,Windpark M??nsterwald GmbH ??? Co. KG,888,140,112,EEG986325627804,,,
SEE937560619239,34474,8.930396,51.445425,2400,2400,SGE997217744387,Neudorfer Windkraft GmbH ??? Co. KG,888,140.6,116.8,EEG913178916410,,,
SEE905867772766,25873,,,10,10,,PSW,888,10,7.1,EEG955819355523,2/4/2019,,
SEE949002460514,33100,8.863223,51.720882,2300,2300,SGE935772077434,Helios Wind,888,138.38,82,EEG986336885705,,,
SEE928121696516,34474,8.923138,51.450611,2400,2400,SGE997217744387,Neudorfer Windkraft GmbH ??? Co. KG,888,140.6,116.8,EEG953940238500,,,
SEE926967078862,34454,8.934484,51.443634,2400,2400,SGE925461548758,Neudorfer Windkraft GmbH ??? Co. KG,888,140.6,116.8,EEG922105685459,,,
SEE986633529210,55758,7.521022,49.68639,3600,3600,SGE951862304440,Windpark Sien GmbH ??? Co. KG,888,149,136,EEG974350308324,,,
SEE925854856361,97996,9.869612,49.44268,3450,3450,SGE967590974374,Windpark Niederstetten,888,117,126,EEG911640399181,,,
SEE931136456792,97941,9.61516,49.602228,3300,3300,SGE916419431925,Windpark Tauberbischofsheim GmbH ??? Co. KG,888,149,126,EEG951810654030,,,
SEE948174917413,25709,8.965544,53.952006,3000,3000,SGE969615671824,Kronprinzenkoog P??ttenfleth,888,92,115,EEG908964875286,,,
SEE999391534563,48163,7.58028,51.868732,4200,4200,SGE935561176584,Windpark Amelsb??ren,888,129.05,141,EEG934701924641,,,
SEE999479064685,97996,9.87417,49.43769,3450,3450,SGE967590974374,Windpark Niederstetten,888,137,126,EEG948141174085,,,
SEE943606210605,31036,9.699684,52.07795,150,150,,Windpark Eime,888,40,27,EEG904325294062,2/23/2024,,
SEE991510648281,31592,8.987413,52.485784,600,600,,Auf dem Acker,888,,,EEG974407122729,,,
SEE986980992200,97996,9.87563,49.43438,3450,3450,SGE967590974374,Windpark Niederstetten,888,137,126,EEG919944302463,,,
SEE948721850590,15236,14.367995,52.361379,3450,3450,SGE939791464985,Windpark Jacobsdorf GmbH ??? Co. KG,888,140,112,EEG974147301446,,,
SEE944030169118,39649,11.200092,52.508658,2300,2300,SGE979914216572,WEA Sichau,888,98,82,EEG944856859491,,,
SEE924957666754,97255,10.041837,49.60042,2000,2000,SGE937786673220,Windpark Bolzhausen,888,105,90,EEG932716724508,,,
SEE908246758184,9603,13.254672,50.969848,850,850,SGE970024687795,Windkraftwerk,888,74,52,EEG931911614331,3/22/2023,,
SEE922705759192,29614,9.734628,52.966818,2350,2350,,Windpark Soltau-Woltem,888,108,92,EEG969043953714,,,
SEE907018034945,67585,8.280162,49.754202,2300,2300,SGE955293194212,,888,138,82,EEG917905399231,,,
SEE913081917771,6647,11.543622,51.233631,600,600,,Windpark Orlas,888,60,43,EEG950127467630,9/22/2020,,
SEE995385162583,56291,7.587343,50.13803,3170,3170,SGE916447658660,WP Leiningen,888,143,114,EEG998988076615,,,
SEE913798001084,35759,8.132222,50.647178,800,800,SGE938097313270,Driedorf-Hohenroth,888,75.6,48,EEG909049193394,,,
SEE926314112690,27232,,,1,1,SGE998883032402,Vorwohlde 37,888,9.5,1.5,EEG944853172500,,,
SEE979124834658,55758,7.519205,49.683209,3600,3600,SGE934205469969,Windpark Sien GmbH ??? Co. KG,888,149,136,EEG953309210857,,,
SEE921889189207,26434,8.004439,53.648937,500,500,,Windpark W??ppels,888,35,37,EEG969929045977,,,
SEE930070129359,66589,7.08065,49.347938,3000,3000,SGE916341150000,Windpark Erkersh??he,888,134,131,EEG983935731426,,,
SEE954077892542,27232,,,1,1,SGE998883032402,Vorwohlde 37,888,9.5,1.5,EEG976741898582,,,
SEE994645831757,34298,9.749439,51.266531,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG920613528930,,,
SEE961308926136,87488,,,1,1,,,888,,1.5,EEG954282589862,12/5/2023,,
SEE961423500822,34298,9.73875,51.278958,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG928931071718,,,
SEE997173911229,25855,9.161911,54.584341,3170,3170,SGE947683874538,Obere Arlau,888,93,114,EEG969292579024,,,
SEE901389927547,25764,8.922446,54.193584,2350,2350,SGE908387426515,B??rgerwindpark S??derdeich GmbH ??? Co. KG,888,85,92,EEG935476723026,,,
SEE974133645066,25884,9.16381,54.57858,3170,3170,SGE918900290134,Obere Arlau,888,93,114,EEG972333005178,,,
SEE977098607209,25884,9.160958,54.581217,3170,3170,SGE933214819505,Obere Arlau,888,93,114,EEG932330707291,,,
SEE983797054244,34298,9.73379,51.281732,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG956425865284,,,
SEE961554931434,25884,9.155934,54.578383,3170,3170,SGE926323723795,Obere Arlau,888,93,114,EEG984049548436,,,
SEE958609973471,35759,8.1306,50.649,500,500,SGE981791839713,Driedorf-Hohenroth,888,65,40.3,EEG914030199019,,,
SEE916761594682,34298,9.729699,51.276038,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG968558404292,,,
SEE939721575996,34298,9.7237,51.27836,3000,3000,SGE961876398816,Windpark Kreuzstein,888,149.08,115.71,EEG925764023082,,,
SEE992411107808,14979,13.604827,52.241984,2000,2000,SGE970958111915,WPHeidering,888,100,80,EEG993218883735,,,
SEE925626575339,57520,7.9496,50.705,500,500,,Langenbach,888,65,40.3,EEG999247845546,,,
SEE901931856097,56271,7.7597,50.608,2000,2000,SGE903253300425,Hartenfelser Kopf,888,113.5,71,EEG987793822708,,,
SEE933298149512,57642,7.8544,50.6196,500,500,,Alpenrod,888,65,40.3,EEG940971960685,,,
SEE939178441813,57642,7.8527,50.6208,600,600,,Alpenrod,888,65,44,EEG963560530465,,,
SEE974771267460,67585,8.287872,49.756982,2300,2300,SGE968776524703,Windpark Dorn-D??rkheim,888,138,82,EEG947578358075,,,
SEE985227635597,26969,8.304526,53.584919,2300,2300,SGE990704044274,Windpark Kampen,888,108,82,EEG927090943898,,,
SEE968993430085,67585,8.28932,49.754797,2300,2300,SGE955293194212,Windpark Dorn-D??rkheim,888,138,82,EEG920462060117,,,
SEE922061799788,52156,6.315053,50.541503,3000,3000,SGE915203673398,Windpark Monschau GmbH ??? Co. KG,888,149,115.71,EEG964473967171,,,
SEE963563745521,26434,8.003871,53.651099,500,500,,Windpark W??ppels,888,35,37,EEG981886246631,,,
SEE929387132831,26434,7.930621,53.630468,600,600,,Windpark Oldorf,888,50,43,EEG975291287167,,,
SEE907827095274,52156,6.302471,50.538379,3000,3000,SGE901445884203,Windpark Monschau GmbH ??? Co. KG,888,149,115.71,EEG953259412110,,,
SEE978136874560,67585,8.293269,49.758067,2300,2300,SGE968776524703,Windpark Dorn-D??rkheim,888,138,82,EEG947997616138,,,
SEE997498719197,67585,8.293995,49.755851,2300,2300,SGE968776524703,Windpark Dorn-D??rkheim,888,138,82,EEG919581380220,,,
SEE941221049020,23824,10.294205,54.071928,3000,3000,SGE923596729097,Damsdorf,888,135.4,115.7,EEG949252264412,,,
SEE962911772868,52156,6.313768,50.532596,3000,3000,SGE985245079298,Windpark Monschau GmbH ??? Co. KG,888,149,115.71,EEG971462305333,,,
SEE957587945463,26419,8.0136,53.581028,900,900,,Windpark Sillenstede,888,49,52.2,EEG923386603798,,,
SEE913696566272,52156,6.311258,50.536496,3000,3000,SGE901904665312,Windpark Monschau GmbH ??? Co. KG,888,149,115.71,EEG987747842820,,,
SEE983113710526,67585,8.277112,49.755387,2300,2300,SGE968776524703,Windpark Dorn-D??rkheim,888,138,82,EEG937580765923,,,
SEE914485918234,52156,6.304545,50.532211,3000,3000,SGE942863756208,Windpark Monschau GmbH ??? Co. KG,888,149,115.71,EEG919786643380,,,
SEE911738888108,67585,8.283978,49.749585,2300,2300,SGE968776524703,Windpark Dorn-D??rkheim,888,138,82,EEG997204947593,,,
SEE928452396543,25872,9.172616,54.484848,3300,3300,SGE975595793999,WP Falkenboe Infastruktur GbR,888,94,112,EEG920281859220,,,
SEE995655867453,26419,8.014268,53.578854,900,900,,Windpark Sillenstede,888,49,52.2,EEG909554452344,,,
SEE954261165025,24969,9.236343,54.667084,3050,3050,SGE900891490150,Barslund Repowering,888,99,101,EEG963386804412,,,
SEE993514819834,67596,8.271404,49.75404,2300,2300,SGE919822171228,Windpark Dittelsheim-He??loch,888,138,82,EEG984670597742,,,
SEE917469481434,26419,8.015146,53.576213,900,900,,Windpark Sillenstede,888,49,52.2,EEG938906436695,,,
SEE953761837937,24969,9.24268,54.670406,3050,3050,SGE949810049284,Barlsund Repowering,888,99,101,EEG980434626109,,,
SEE939238240615,67596,8.272588,49.751951,2300,2300,SGE919822171228,Windpark Dittelsheim-He??loch,888,138,82,EEG922959458315,,,
SEE950489311879,52072,6.025632,50.825313,2750,2750,SGE913335635383,Windpark Aachen-Nord GmbH ??? Co. KG,888,139,120,EEG974212303979,,,
SEE919983601206,67596,8.274486,49.750232,2300,2300,SGE919822171228,Windpark Dittelsheim-He??loch,888,138,82,EEG906810741389,,,
SEE949376230058,67596,8.275065,49.747944,2300,2300,SGE919822171228,Windpark Dittelsheim-He??loch,888,138,82,EEG992139256918,,,
SEE946005846918,26180,8.186445,53.278617,900,900,,Windpark Lehmden,888,74,52.2,EEG971711761231,,,
SEE916385954305,52072,6.024431,50.837255,3300,3300,SGE949955483967,Windpark Aachen-Nord GmbH ??? Co. KG,888,140,112,EEG929632379295,,,
SEE927344511514,67577,8.289635,49.750218,2300,2300,SGE992276531374,Windpark Alsheim,888,138,82,EEG908011842933,,,
SEE990772028893,92348,11.4886,49.35015,500,500,,W??nn,888,65,40.6,EEG982299535015,,,
SEE947323024392,67577,8.293326,49.753074,2300,2300,SGE992276531374,Windpark Alsheim,888,138,82,EEG991217839692,,,
SEE986129931039,67577,8.296351,49.750967,2300,2300,SGE992276531374,Windpark Alsheim,888,138,82,EEG940840240405,,,
SEE960974148347,56370,7.97376,50.246624,800,800,SGE980415865923,Windpark Katzenelnbogen,888,73,53,EEG995004307357,,,
SEE955357427270,55234,8.19873,49.738404,600,600,SGE969038660658,Windpark Kloppberg,888,77.5,43,EEG978049401617,,,
SEE933244215582,15936,13.48451,51.89041,2530,2530,SGE970706399435,Windpark Dahme-Zagelsdorf 4,888,120,120,EEG918451956091,,,
SEE970240259233,15236,14.370774,52.359065,3450,3450,SGE939791464985,Windpark Jacobsdorf GmbH ??? Co. KG,888,140,112,EEG976344572346,,,
SEE912220399539,26529,7.20087,53.50976,800,800,SGE929858291302,E-53,888,,53,EEG913273544556,,,
SEE902440225077,26954,8.375684,53.483242,800,800,,Windpark Burggroden,888,50,48,EEG987781807779,,,
SEE987138754978,28237,8.672736,53.149788,2300,2300,SGE984314481468,WP Industrieh??fen,888,108,82,EEG960580100685,,,
SEE943048466622,23730,10.897,54.148,2000,2000,SGE973386940706,Windpark Schashagen,888,100,100,EEG988194888409,,,
SEE978150569985,15236,14.366622,52.357793,3450,3450,SGE939791464985,Windpark Jacobsdorf GmbH ??? Co. KG,888,140,112,EEG990216272738,,,
SEE974985183242,17391,13.430621,53.881697,3050,3050,SGE966259971204,Windpark Neetzow-Liepen,888,99,101,EEG965939895434,,,
SEE923807774281,28237,8.677571,53.148795,2300,2300,SGE984314481468,WP Industrieh??fen,888,108,82,EEG953769623525,,,
SEE917770180408,6721,11.987384,51.065302,750,750,,Windpark Meineweh 1,888,60,48,EEG925279820046,,,
SEE988550532632,15936,13.48968,51.88972,2530,2530,SGE970706399435,Windpark Dahme-Zagelsdorf 4,888,120,120,EEG905966567829,,,
SEE929809186879,26954,8.381191,53.48408,800,800,,Windpark Burggroden,888,50,48,EEG948398721049,,,
SEE971732258345,15236,14.365909,52.355317,3450,3450,SGE939791464985,Windpark Jacobsdorf GmbH ??? Co. KG,888,140,112,EEG938576724634,,,
SEE986339556954,95632,12.083861,50.079051,2500,2500,SGE968202710410,,888,140,112.5,EEG984770079711,,,
SEE975094493437,15936,13.4861,51.88555,2530,2530,SGE970706399435,Windpark Dahme-Zagelsdorf 4,888,120,120,EEG981597832383,,,
SEE977118064012,15236,14.364441,52.355246,3450,3450,SGE939363579024,Windpark Jacobsdorf GmbH ??? Co. KG,888,140,112,EEG991943882672,,,
SEE905967482589,67550,8.286653,49.658572,3000,3000,SGE961637976079,Windpark Worms II,888,119,112,EEG963271489182,,,
SEE932473489481,78132,8.257797,48.235417,1000,1000,,Reichenbach,888,110,54,EEG961727433628,,,
SEE910277454751,26954,8.379905,53.482568,800,800,,Windpark Burggroden,888,50,48,EEG928849537856,,,
SEE963764933994,15236,14.363807,52.350316,3450,3450,SGE939791464985,Windpark Jacobsdorf GmbH ??? Co. KG,888,140,112,EEG999484248070,,,
SEE992500237126,21397,10.525563,53.215562,1500,1500,SGE945301736091,Windpark Barendorf,888,96,82,EEG949525624349,,,
SEE981432095027,26954,8.377812,53.484612,2300,2300,SGE978482366306,Windpark Burggroden,888,85,70,EEG935167214642,,,
SEE931770753134,67550,8.291696,49.65902,3000,3000,SGE967168115260,Windpark Worms II,888,119,112,EEG965129622932,,,
SEE923923348991,15936,13.48286,51.88213,2530,2530,SGE970706399435,Windpark Dahme-Zagelsdorf 4,888,120,120,EEG978643673373,,,
SEE978883707494,15236,14.373328,52.361254,3450,3450,SGE939791464985,Windpark Jacobsdorf GmbH ??? Co. KG,888,140,112,EEG988204686988,,,
SEE964757457817,95707,12.088383,50.075894,2750,2750,SGE974888495091,Thiersheim,888,139,120,EEG985419651190,,,
SEE930330215907,97255,10.042695,49.597541,2000,2000,SGE937786673220,Windpark Bolzhausen,888,105,90,EEG910814853726,,,
SEE999732809190,67550,8.299842,49.660986,3000,3000,SGE900744516181,Windpark Worms II,888,119,112,EEG962134049402,,,
SEE968044447352,52072,6.025588,50.834487,3300,3300,SGE946803685511,Windpark Aachen-Nord GmbH ??? Co. KG,888,140,112,EEG943709069537,,,
SEE901778978266,67550,8.301973,49.657308,3000,3000,SGE914778788902,Windpark Worms II,888,119,112,EEG947642014302,,,
SEE943618043789,15236,14.373935,52.353607,3450,3450,SGE939791464985,Windpark Jacobsdorf GmbH ??? Co. KG,888,140,112,EEG975624967810,,,
SEE969121787637,15236,14.376256,52.351452,3450,3450,SGE939791464985,Windpark Jacobsdorf GmbH ??? Co. KG,888,140,112,EEG913893473328,,,
SEE997523930887,67551,8.271765,49.649227,3000,3000,SGE979050676261,Windpark Worms II,888,119,112,EEG987014842799,,,
SEE985636331707,67551,8.280835,49.652306,3000,3000,SGE923260317520,Windpark Worms II,888,119,112,EEG963458508323,,,
SEE998020919283,27580,8.542747,53.596088,5000,5000,SGE983026793371,,888,120,126,EEG940684919871,,,
SEE938038563863,35759,8.1337,50.6488,500,500,SGE926477158818,Driedorf-Hohenroth,888,65,40.3,EEG962839911257,,,
SEE989831478342,67551,8.28551,49.650905,3000,3000,SGE960570226494,Windpark Worms II,888,119,112,EEG977612759056,,,
SEE908194160398,35759,8.1365,50.6485,500,500,SGE926477158818,Driedorf-Hohenroth,888,65,40.3,EEG941332128249,,,
SEE925727553458,52072,6.028525,50.822697,2750,2750,SGE994169978464,Windpark Aachen-Nord GmbH ??? Co. KG,888,139,120,EEG901599683288,,,
SEE938906470422,97320,10.117259,49.781605,2000,2000,SGE933357852612,Windpark Mainstockheim,888,125,90,EEG964259494549,,,
SEE903963449216,50127,6.724813,50.937035,3000,3000,SGE935189689244,Windpark Fischbachh??he GmbH ??? Co. KG,888,114,131,EEG949346374409,,,
SEE956795540705,97320,10.123655,49.782123,2000,2000,SGE933357852612,Windpark Mainstockheim,888,125,90,EEG953335520784,,,
SEE900522454056,50127,6.717627,50.941416,3000,3000,SGE935189689244,Windpark Fischbachh??he GmbH ??? Co. KG,888,114,131,EEG978029419236,,,
